rOD,rID
0.259,0.229
0.259,0.239
0.259,0.198
0.238,0.208
0.238,0.218
0.238,0.189
0.219,0.205
0.219,0.168
0.188,0.173
0.203,0.183
0.203,0.189
0.203,0.15
0.172,0.15
0.18,0.16
0.18,0.166
0.18,0.173
0.18,0.136
0.156,0.135
0.165,0.145
0.165,0.15
0.165,0.119
0.141,0.118
0.148,0.128
0.148,0.138
0.148,0.135
0.148,0.106
0.126,0.106
0.134,0.114
0.134,0.118
0.134,0.122
0.134,0.095
0.115,0.094
0.12,0.1
0.12,0.106
0.12,0.112
0.12,0.082
0.1,0.077
0.109,0.085
0.109,0.091
0.109,0.097
0.109,0.1
0.109,0.071
0.089,0.071
0.095,0.077
0.095,0.085
0.095,0.09
0.095,0.063
0.078,0.049
0.083,0.068
0.083,0.063
0.083,0.072
0.083,0.039
0.083,0.077
0.083,0.054
0.068,0.05
0.072,0.054
0.072,0.06
0.072,0.063
0.072,0.052
0.062,0.033
0.065,0.047
0.065,0.053
0.065,0.0565
0.065,0.06
0.065,0.046
0.056,0.039
0.059,0.041
0.059,0.042
0.058,0.05
0.058,0.046
0.059,0.052
0.059,0.054
0.059,0.034
0.046,0.03
0.05,0.033
0.05,0.038
0.05,0.042
0.05,0.045
0.05,0.027
0.039,0.023
0.0425,0.028
0.0425,0.033
0.0425,0.035
0.0425,0.038
0.0425,0.027
0.034,0.024
0.0355,0.026
0.0355,0.028
0.0355,0.031
0.0355,0.024
0.03,0.017
0.032,0.02
0.032,0.023
0.032,0.029
0.032,0.02
0.026,0.016
0.028,0.02
0.028,0.022
0.028,0.007
0.028,0.024
0.028,0.017
0.023,0.013
0.025,0.017
0.025,0.02
0.025,0.016
0.021,0.012
0.022,0.014
0.022,0.016
0.022,0.014
0.019,0.01
0.02,0.012
0.02,0.016
0.02,0.01
0.018,0.0123
0.183,0.0138
0.0183,0.008
0.016,0.0103
0.0163,0.012
0.0163,0.007
0.014,0.0093
0.0143,0.007
0.013,0.004
0.012,0.006
0.012,0.008
0.012,0.005
0.01,0.004
0.009,0.004
0.008,0.006
0.008,0.002
0.006,0.198
0.238,0.173
0.203,0.183
0.203,0.15
0.18,0.135
0.165,0.118
0.148,0.128
0.148,0.106
0.134,0.114
0.134,0.094
0.12,0.1
0.12,0.085
0.109,0.091
0.109,0.071
0.095,0.077
0.095,0.063
0.083,0.072
0.083,0.05
0.072,0.054
0.072,0.054
0.072,0.06
0.072,0.052
0.062,0.033
0.065,0.047
0.065,0.053
0.065,0.041
0.059,0.042
0.058,0.046
0.059,0.033
0.05,0.038
0.05,0.042
0.05,0.045
0.05,0.028
0.0425,0.033
0.0425,0.024
0.0355,0.026
0.0355,0.0305
0.0355,0.02
0.032,0.023
0.032,0.016
0.028,0.02
0.028,0.013
0.025,0.017
0.025,0.012
0.022,0.014
0.022,0.01
0.02,0.012
0.02,0.01
0.018,0.008
0.016,0.007
0.014,0.007
0.013,0.006
0.012,0.003
0.012,0.005
